Year,Day,Hour,Minute,Timeshift,Timeshift_rms,B,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Vx,Vy,Vz,Proton_Density,Proton_Temperature,Flow_Pressure,Electric_Field,s_c_X_GSE,s_c_Y_GSE,s_c_Z_GSE,BSN_location_X_GSE,BSN_location_Y_GSE,BSN_location_Z_GSE,Dst
2025.0,316.0,17.0,29.5,2025.0,2025.0,17.180166666666665,5.105666666666666,9.613166666666666,12.9715,12.333833333333333,10.428666666666668,585.5644444444445,-584.9777777777778,3.5088888888888885,-18.635555555555555,6.223111111111112,48524.15555555555,4.234666666666667,-5.927111111111111,228.02377777777775,97.50066666666666,4.974888888888889,12.684833333333334,-0.714,0.419,-121.0
2025.0,316.0,18.0,29.5,2025.0,2025.0,16.205438596491227,2.822105263157895,11.410526315789474,11.001754385964912,13.292280701754386,8.629824561403508,585.2071428571429,-584.5833333333334,4.645238095238095,-22.55,4.085714285714285,42794.07142857143,2.796428571428572,-5.0425,228.07261904761904,97.45666666666666,4.987857142857143,13.43438596491228,-0.7992982456140352,0.5108771929824562,-112.0
2025.0,316.0,19.0,29.5,2025.0,2025.0,25.320833333333333,4.533,15.974,18.3555,18.57883333333333,15.676666666666668,718.1576923076923,-716.2,21.34038461538461,12.171153846153846,4.98826923076923,134797.23076923078,5.615,-12.079423076923076,228.1415384615385,97.41442307692309,5.003269230769231,12.793333333333331,-0.9371666666666668,-0.0213333333333333,-82.0
2025.0,316.0,20.0,29.5,2025.0,2025.0,27.08694915254237,10.887457627118645,4.384237288135593,14.984406779661018,6.233050847457627,14.25322033898305,782.1625,-778.1541666666667,-6.702083333333333,67.76458333333333,16.042083333333334,180797.29166666663,19.407708333333336,-10.274583333333334,228.211875,97.363125,5.022083333333334,9.731186440677966,-0.2525423728813559,-0.8642372881355933,-59.0
2025.0,316.0,21.0,29.5,2025.0,2025.0,21.90890909090909,15.31890909090909,-2.413272727272727,14.320727272727272,-0.8352727272727273,14.49090909090909,742.372972972973,-740.0054054054054,-20.11891891891892,41.88648648648648,11.07108108108108,286770.4864864865,12.186486486486483,-9.99918918918919,228.2705405405405,97.3272972972973,5.037567567567568,10.414545454545454,-0.1129090909090909,-0.6592727272727272,-63.0
2025.0,316.0,22.0,29.5,2025.0,2025.0,20.91333333333333,15.966666666666669,-8.51,10.256666666666668,-7.413333333333334,11.073333333333332,747.5999999999999,-746.7,-29.75,20.700000000000003,8.0,250514.5,8.94,-8.17,228.3,97.31,5.04,11.57,-0.01,-0.3,-72.0
2025.0,316.0,23.0,29.5,2025.0,2025.0,22.527142857142856,11.077380952380953,-17.562380952380952,3.965,-17.060238095238095,5.754047619047618,854.1432432432432,-837.972972972973,-19.51621621621621,-54.85675675675676,4.096486486486486,1560912.3513513512,5.895135135135135,-5.091891891891892,228.3937837837838,97.2372972972973,5.06891891891892,11.763095238095238,-0.239047619047619,0.7864285714285715,-72.0
2025.0,317.0,0.0,29.5,2025.0,2025.0,20.4335,1.8263333333333331,-13.914333333333332,-11.9535,-15.215,-10.278166666666667,914.377358490566,-905.5415094339622,8.649056603773584,-117.09056603773584,5.3458490566037735,792973.8301886793,8.87622641509434,10.041132075471698,228.44056603773583,97.19867924528302,5.082264150943397,9.1555,-0.3821666666666666,1.2041666666666666,-74.0
2025.0,317.0,1.0,29.5,2025.0,2025.0,15.507166666666668,-3.9141666666666666,-5.174833333333334,-13.953833333333334,-7.0615,-13.092,976.8107142857144,-970.625,51.59285714285714,-93.73571428571428,4.803928571428571,645243.4642857143,9.1525,13.1375,228.4828571428572,97.15785714285714,5.096785714285714,8.679166666666667,-0.6941666666666666,0.8795000000000001,-118.0
2025.0,317.0,2.0,29.5,2025.0,2025.0,14.427833333333332,1.296,-2.0726666666666667,-5.353666666666667,-2.941333333333333,-4.986166666666667,922.4555555555556,-916.5759259259258,38.21296296296296,-79.72037037037036,5.78925925925926,551938.0925925926,9.868888888888888,4.66037037037037,228.5411111111111,97.12537037037038,5.108703703703704,9.544833333333337,-0.7138333333333333,0.8066666666666666,-133.0
